anyseed,baseline,district,id_village_grp,slope,flat,random,gossip,trusted,trustgossip,created_year,created_month,nchildren
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,12,21
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2018,1,14
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2018,2,23
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2018,3,10
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,3,6
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,4,3
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,5,5
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,6,4
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,7,5
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,8,3
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,9,2
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,10,7
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,11,7
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2017,12,7
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2018,1,7
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2018,2,11
1,1,Bhiwani,1_04_05_V03Y_0,TRUE,FALSE,1,0,0,0,2018,3,6
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,3,13
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,4,11
