id_phc,gossip,trusted,trustgossip,random,highslope,highflat,lowslope,lowflat,id_village_grp,district,created_year,created_month,shot_Penta1,shot_Penta2,shot_Penta3,shot_Measles1,nchildren,SMS33,SMS66
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,8,1,2,5,2,10,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,9,4,5,3,5,16,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,10,3,3,3,3,13,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,11,2,3,3,2,20,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,12,3,4,3,5,16,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2018,1,2,2,4,2,12,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2018,2,3,2,2,2,10,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2018,3,2,3,4,2,13,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,3,0,3,2,0,5,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,4,0,0,3,0,3,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,5,3,0,0,2,5,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,6,0,2,0,0,2,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,7,1,0,2,3,6,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,8,0,1,0,0,1,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,9,0,1,0,1,2,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,10,1,1,1,1,5,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,11,2,1,0,0,5,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2017,12,1,2,0,2,5,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2018,1,1,0,1,0,3,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2018,2,1,0,0,0,1,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V06Y_0,Bhiwani,2018,3,2,1,0,0,5,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,3,2,2,0,3,7,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,4,4,2,4,1,11,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,5,0,4,2,1,7,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,6,2,0,2,4,8,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,7,1,1,1,1,5,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,8,1,0,1,4,8,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,9,4,2,0,0,6,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,10,3,0,1,0,5,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,11,1,6,1,3,11,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2017,12,1,0,1,3,7,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2018,1,4,1,2,0,9,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2018,2,3,4,3,1,13,0,0
1_03,0,1,0,0,0,1,0,0,1_03_08_V02Y_0,Bhiwani,2018,3,2,3,6,2,15,0,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,3,2,4,2,3,11,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,4,0,4,4,4,11,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,5,3,0,2,3,8,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,6,3,3,2,4,12,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,7,0,2,2,2,6,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,8,4,1,2,1,10,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,9,5,1,1,3,16,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,10,1,4,2,4,13,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,11,2,3,1,2,8,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2017,12,4,0,3,2,15,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2018,1,2,6,3,1,16,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2018,2,3,1,7,4,19,1,0
1_04,0,1,0,0,0,1,0,0,1_04_01_V01Y_0,Bhiwani,2018,3,2,2,2,2,10,1,0
